inter_stim_inverval,GNG_stim,match,corr_key
6.0,affective_go_stimuli\puppy_15.jpeg,1,space
6.5,affective_no_go_stimuli\spider_12.jpeg,0,None
5.0,affective_no_go_stimuli\spider_15.jpeg,0,None
6.0,affective_go_stimuli\puppy_18.jpeg,1,space
6.0,affective_no_go_stimuli\spider_6.jpeg,0,None
5.0,affective_go_stimuli\puppy_30.jpg,1,space
6.0,affective_no_go_stimuli\spider_9.jpeg,0,None
4.0,affective_go_stimuli\puppy_26.jpeg,1,space
5.5,affective_go_stimuli\puppy_23.jpeg,1,space
6.0,affective_go_stimuli\puppy_10.jpg,1,space
5.0,affective_go_stimuli\puppy_2.jpg,1,space
5.0,affective_no_go_stimuli\spider_16.jpeg,0,None
5.5,affective_go_stimuli\puppy_19.jpeg,1,space
4.0,affective_no_go_stimuli\spider_28.jpg,0,None
4.5,affective_go_stimuli\puppy_8.jpg,1,space
6.0,affective_no_go_stimuli\spider_13.jpeg,0,None
4.5,affective_go_stimuli\puppy_25.jpeg,1,space
6.0,affective_no_go_stimuli\spider_3.jpeg,0,None
4.5,affective_no_go_stimuli\spider_10.jpeg,0,None
4.5,affective_no_go_stimuli\spider_22.jpg,0,None
