inter_stim_inverval,GNG_stim,match,corr_key
5.0,no_go_stimuli\spider_8.jpeg,0,None
6.0,go_stimuli\puppy_12.jpeg,1,space
4.5,no_go_stimuli\spider_17.jpeg,0,None
6.0,go_stimuli\puppy_14.jpeg,1,space
5.0,no_go_stimuli\spider_7.jpeg,0,None
4.5,go_stimuli\puppy_15.jpeg,1,space
6.5,go_stimuli\puppy_1.jpg,1,space
4.0,go_stimuli\puppy_6.jpg,1,space
5.0,go_stimuli\puppy_2.jpg,1,space
6.0,no_go_stimuli\spider_26.jpg,0,None
5.5,no_go_stimuli\spider_16.jpeg,0,None
5.5,no_go_stimuli\spider_1.jpeg,0,None
4.0,no_go_stimuli\spider_10.jpeg,0,None
5.0,go_stimuli\puppy_5.jpg,1,space
6.5,go_stimuli\puppy_19.jpeg,1,space
5.5,no_go_stimuli\spider_14.jpeg,0,None
4.0,no_go_stimuli\spider_30.jpg,0,None
4.5,no_go_stimuli\spider_6.jpeg,0,None
6.5,go_stimuli\puppy_11.jpeg,1,space
4.5,go_stimuli\puppy_30.jpg,1,space
