inter_stim_inverval,GNG_stim,match,corr_key
4.5,go_stimuli\puppy_21.jpeg,1,space
6.5,no_go_stimuli\spider_29.jpg,0,None
5.5,no_go_stimuli\spider_2.jpeg,0,None
4.5,go_stimuli\puppy_23.jpeg,1,space
4.0,go_stimuli\puppy_19.jpeg,1,space
6.0,go_stimuli\puppy_20.jpeg,1,space
5.5,no_go_stimuli\spider_23.jpg,0,None
6.5,no_go_stimuli\spider_6.jpeg,0,None
5.5,go_stimuli\puppy_24.jpeg,1,space
4.5,no_go_stimuli\spider_4.jpeg,0,None
4.0,go_stimuli\puppy_7.jpg,1,space
5.5,no_go_stimuli\spider_7.jpeg,0,None
4.5,no_go_stimuli\spider_30.jpg,0,None
6.5,go_stimuli\puppy_14.jpeg,1,space
4.5,go_stimuli\puppy_2.jpg,1,space
5.0,no_go_stimuli\spider_26.jpg,0,None
4.5,no_go_stimuli\spider_10.jpeg,0,None
5.5,go_stimuli\puppy_25.jpeg,1,space
4.0,go_stimuli\puppy_17.jpeg,1,space
6.0,no_go_stimuli\spider_14.jpeg,0,None
