inter_stim_inverval,GNG_stim,match,corr_key
5.0,go_stimuli\puppy_10.jpg,1,space
6.0,go_stimuli\puppy_29.jpg,1,space
6.5,go_stimuli\puppy_28.jpg,1,space
5.0,no_go_stimuli\spider_16.jpeg,0,None
5.0,no_go_stimuli\spider_10.jpeg,0,None
4.5,no_go_stimuli\spider_20.jpg,0,None
4.0,go_stimuli\puppy_26.jpeg,1,space
5.0,no_go_stimuli\spider_6.jpeg,0,None
5.5,no_go_stimuli\spider_28.jpg,0,None
4.0,go_stimuli\puppy_2.jpg,1,space
5.0,go_stimuli\puppy_27.jpg,1,space
5.5,go_stimuli\puppy_3.jpg,1,space
4.5,go_stimuli\puppy_7.jpg,1,space
6.0,no_go_stimuli\spider_11.jpeg,0,None
4.5,go_stimuli\puppy_24.jpeg,1,space
6.0,no_go_stimuli\spider_25.jpg,0,None
5.0,no_go_stimuli\spider_23.jpg,0,None
5.5,no_go_stimuli\spider_4.jpeg,0,None
6.5,go_stimuli\puppy_4.jpg,1,space
4.5,no_go_stimuli\spider_19.jpg,0,None
