inter_stim_interval,go_stim,match,corr_key
6.0,affective_go_stimuli\puppy_21.jpeg,1,space
6.5,affective_go_stimuli\puppy_3.jpg,1,space
4.5,affective_go_stimuli\puppy_2.jpg,1,space
5.0,affective_go_stimuli\puppy_8.jpg,1,space
4.5,affective_go_stimuli\puppy_12.jpeg,1,space
5.5,affective_go_stimuli\puppy_23.jpeg,1,space
6.5,affective_go_stimuli\puppy_22.jpeg,1,space
4.5,affective_go_stimuli\puppy_25.jpeg,1,space
5.5,affective_go_stimuli\puppy_16.jpeg,1,space
6.0,affective_go_stimuli\puppy_27.jpg,1,space
6.0,affective_go_stimuli\puppy_9.jpg,1,space
6.5,affective_go_stimuli\puppy_4.jpg,1,space
6.5,affective_go_stimuli\puppy_7.jpg,1,space
6.5,affective_go_stimuli\puppy_28.jpg,1,space
6.5,affective_go_stimuli\puppy_30.jpg,1,space
4.0,affective_go_stimuli\puppy_20.jpeg,1,space
6.0,affective_go_stimuli\puppy_10.jpg,1,space
6.5,affective_go_stimuli\puppy_19.jpeg,1,space
4.5,affective_go_stimuli\puppy_13.jpg,1,space
6.5,affective_go_stimuli\puppy_11.jpeg,1,space
