inter_stim_interval,go_stim,match,corr_key
5.5,go_stimuli\puppy_29.jpg,1,space
6.5,go_stimuli\puppy_15.jpeg,1,space
5.5,go_stimuli\puppy_9.jpg,1,space
5.5,go_stimuli\puppy_23.jpeg,1,space
5.5,go_stimuli\puppy_14.jpeg,1,space
6.5,go_stimuli\puppy_8.jpg,1,space
4.5,go_stimuli\puppy_2.jpg,1,space
4.5,go_stimuli\puppy_16.jpeg,1,space
6.5,go_stimuli\puppy_22.jpeg,1,space
4.0,go_stimuli\puppy_30.jpg,1,space
5.5,go_stimuli\puppy_5.jpg,1,space
5.5,go_stimuli\puppy_20.jpeg,1,space
6.5,go_stimuli\puppy_10.jpg,1,space
5.0,go_stimuli\puppy_11.jpeg,1,space
5.0,go_stimuli\puppy_1.jpg,1,space
5.5,go_stimuli\puppy_12.jpeg,1,space
5.5,go_stimuli\puppy_19.jpeg,1,space
6.5,go_stimuli\puppy_6.jpg,1,space
5.5,go_stimuli\puppy_26.jpeg,1,space
4.5,go_stimuli\puppy_24.jpeg,1,space
