go_stim,match
affective_go_stimuli\puppy_5.jpg,['space']
affective_go_stimuli\puppy_28.jpg,['space']
affective_go_stimuli\puppy_12.jpeg,['space']
affective_go_stimuli\puppy_19.jpeg,['space']
affective_go_stimuli\puppy_27.jpg,['space']
affective_go_stimuli\puppy_23.jpeg,['space']
affective_go_stimuli\puppy_14.jpeg,['space']
affective_go_stimuli\puppy_6.jpg,['space']
affective_go_stimuli\puppy_22.jpeg,['space']
affective_go_stimuli\puppy_21.jpeg,['space']
affective_go_stimuli\puppy_9.jpg,['space']
affective_go_stimuli\puppy_29.jpg,['space']
affective_go_stimuli\puppy_7.jpg,['space']
affective_go_stimuli\puppy_17.jpeg,['space']
