inter_stim_inverval,GNG_stim,match,corr_key
6.0,affective_go_stimuli\puppy_2.jpg,1,space
4.0,affective_go_stimuli\puppy_12.jpeg,1,space
4.0,affective_no_go_stimuli\spider_6.jpeg,0,None
4.5,affective_no_go_stimuli\spider_5.jpeg,0,None
5.5,affective_no_go_stimuli\spider_23.jpg,0,None
5.0,affective_go_stimuli\puppy_24.jpeg,1,space
6.5,affective_no_go_stimuli\spider_24.jpeg,0,None
5.0,affective_go_stimuli\puppy_1.jpg,1,space
6.0,affective_go_stimuli\puppy_5.jpg,1,space
4.5,affective_go_stimuli\puppy_25.jpeg,1,space
4.0,affective_go_stimuli\puppy_7.jpg,1,space
5.0,affective_no_go_stimuli\spider_28.jpg,0,None
5.5,affective_no_go_stimuli\spider_7.jpeg,0,None
5.0,affective_go_stimuli\puppy_26.jpeg,1,space
5.0,affective_no_go_stimuli\spider_27.jpeg,0,None
4.5,affective_no_go_stimuli\spider_29.jpg,0,None
5.5,affective_no_go_stimuli\spider_19.jpg,0,None
4.0,affective_no_go_stimuli\spider_10.jpeg,0,None
6.5,affective_go_stimuli\puppy_10.jpg,1,space
4.5,affective_go_stimuli\puppy_16.jpeg,1,space
