inter_stim_inverval,GNG_stim,match,corr_key
4.0,go_stimuli\puppy_2.jpg,1,space
4.5,no_go_stimuli\spider_1.jpeg,0,None
4.5,no_go_stimuli\spider_15.jpeg,0,None
4.0,go_stimuli\puppy_21.jpeg,1,space
4.0,go_stimuli\puppy_4.jpg,1,space
5.5,go_stimuli\puppy_8.jpg,1,space
5.5,no_go_stimuli\spider_5.jpeg,0,None
5.0,no_go_stimuli\spider_25.jpg,0,None
4.5,no_go_stimuli\spider_7.jpeg,0,None
4.0,no_go_stimuli\spider_2.jpeg,0,None
5.5,go_stimuli\puppy_9.jpg,1,space
4.5,go_stimuli\puppy_11.jpeg,1,space
6.0,no_go_stimuli\spider_13.jpeg,0,None
6.5,go_stimuli\puppy_10.jpg,1,space
4.5,go_stimuli\puppy_26.jpeg,1,space
5.5,no_go_stimuli\spider_28.jpg,0,None
6.0,no_go_stimuli\spider_24.jpeg,0,None
6.0,no_go_stimuli\spider_12.jpeg,0,None
6.0,go_stimuli\puppy_30.jpg,1,space
6.0,go_stimuli\puppy_15.jpeg,1,space
