inter_stim_inverval,GNG_stim,match,corr_key
4.0,no_go_stimuli\spider_19.jpg,0,None
5.0,go_stimuli\puppy_12.jpeg,1,space
5.0,go_stimuli\puppy_17.jpeg,1,space
6.0,go_stimuli\puppy_7.jpg,1,space
5.0,no_go_stimuli\spider_23.jpg,0,None
4.5,go_stimuli\puppy_3.jpg,1,space
6.0,no_go_stimuli\spider_21.jpg,0,None
4.0,no_go_stimuli\spider_10.jpeg,0,None
6.5,no_go_stimuli\spider_24.jpeg,0,None
6.5,no_go_stimuli\spider_30.jpg,0,None
4.5,no_go_stimuli\spider_11.jpeg,0,None
6.0,no_go_stimuli\spider_20.jpg,0,None
5.0,go_stimuli\puppy_28.jpg,1,space
5.5,go_stimuli\puppy_27.jpg,1,space
5.0,go_stimuli\puppy_11.jpeg,1,space
6.0,go_stimuli\puppy_30.jpg,1,space
4.0,no_go_stimuli\spider_9.jpeg,0,None
4.0,go_stimuli\puppy_9.jpg,1,space
6.5,go_stimuli\puppy_21.jpeg,1,space
6.5,no_go_stimuli\spider_8.jpeg,0,None
