inter_stim_inverval,GNG_stim,match,corr_key
5.0,go_stimuli\puppy_7.jpg,1,space
6.5,go_stimuli\puppy_2.jpg,1,space
4.5,go_stimuli\puppy_3.jpg,1,space
5.5,go_stimuli\puppy_29.jpg,1,space
6.0,no_go_stimuli\spider_19.jpg,0,None
5.5,no_go_stimuli\spider_22.jpg,0,None
6.5,go_stimuli\puppy_23.jpeg,1,space
6.0,no_go_stimuli\spider_8.jpeg,0,None
4.5,no_go_stimuli\spider_29.jpg,0,None
6.0,no_go_stimuli\spider_10.jpeg,0,None
5.5,no_go_stimuli\spider_18.jpg,0,None
5.5,go_stimuli\puppy_14.jpeg,1,space
6.5,no_go_stimuli\spider_23.jpg,0,None
4.0,go_stimuli\puppy_25.jpeg,1,space
6.5,no_go_stimuli\spider_11.jpeg,0,None
5.0,go_stimuli\puppy_13.jpg,1,space
5.0,go_stimuli\puppy_8.jpg,1,space
6.0,no_go_stimuli\spider_26.jpg,0,None
6.0,no_go_stimuli\spider_3.jpeg,0,None
5.0,go_stimuli\puppy_10.jpg,1,space
